 ,post_title,post_author,post_date,post_type,post_status,date,open,high,low,close,volume_shares,value_mmk,companies,market_capitalization
1,23rd Sep. 2016,admin,9/23/2016 0:00,company_1,publish,20160923,16000,16500,16000,16500,4382,71043000,23480013,387420
2,22nd Sep. 2016,admin,9/22/2016 0:00,company_1,publish,20160922,16000,16000,16000,16000,5395,86320000,23480013,375680
3,21st Sep. 2016,admin,9/21/2016 0:00,company_1,publish,20160921,17000,17000,16500,16500,5519,92946000,23480013,387420
4,20th Sep. 2016,admin,9/20/2016 0:00,company_1,publish,20160920,17000,17000,17000,17000,3914,66538000,23480013,399160
5,19th Sep. 2016,admin,9/19/2016 0:00,company_1,publish,20160919,18000,18000,18000,18000,4952,89136000,23480013,422640
6,16th Sep. 2016,admin,9/16/2016 0:00,company_1,publish,20160916,18500,18500,18500,18500,1837,33984500,23480013,434380
7,15th Sep. 2016,admin,9/15/2016 0:00,company_1,publish,20160915,18500,18500,18500,18500,2632,48692000,23480013,434380
8,14th Sep. 2016,admin,9/14/2016 0:00,company_1,publish,20160914,18500,18500,18500,18500,2070,38295000,23480013,434380
9,12th Sep. 2016,admin,9/12/2016 0:00,company_1,publish,20160912,18500,18500,18500,18500,2665,49302500,23480013,434380
10,9th Sep. 2016,admin,9/9/2016 0:00,company_1,publish,20160909,19000,19000,19000,19000,4064,77216000,23480013,446120
11,8th Sep. 2016,admin,9/8/2016 0:00,company_1,publish,20160908,19000,19000,19000,19000,5271,100149000,23480013,446120
12,7th Sep. 2016,admin,9/7/2016 0:00,company_1,publish,20160907,19500,19500,19500,19500,3228,62946000,23480013,457860
13,6th Sep. 2016,admin,9/6/2016 0:00,company_1,publish,20160906,19500,19500,19500,19500,2571,50134500,23480013,457860
14,5th Sep. 2016,admin,9/5/2016 0:00,company_1,publish,20160905,19500,20000,19500,20000,3051,60296500,23480013,469600
15,2nd Sep. 2016,admin,9/2/2016 0:00,company_1,publish,20160902,19500,19500,19500,19500,5453,106333500,23480013,457860
16,1st Sep. 2016,admin,9/1/2016 0:00,company_1,publish,20160901,20000,20000,20000,20000,4353,87060000,23480013,469600
17,31st Aug. 2016,admin,8/31/2016 0:00,company_1,publish,20160831,20000,20000,20000,20000,2938,58760000,23480013,469600
18,30th Aug. 2016,admin,8/30/2016 0:00,company_1,publish,20160830,19500,20000,19500,20000,1835,36286500,23480013,469600
19,29th Aug. 2016,admin,8/29/2016 0:00,company_1,publish,20160829,20000,20000,20000,20000,3036,60720000,23480013,469600
20,26th Aug. 2016,admin,8/26/2016 0:00,company_1,publish,20160826,20000,20000,20000,20000,1534,30680000,23480013,469600
21,25th Aug. 2016,admin,8/25/2016 0:00,company_1,publish,20160825,19500,20000,19500,20000,2360,46243500,23480013,469600
22,24th Aug. 2016,admin,8/24/2016 0:00,company_1,publish,20160824,19500,20000,19500,20000,2692,52781000,23480013,469600
23,23rd Aug. 2016,admin,8/23/2016 0:00,company_1,publish,20160823,20000,20000,20000,20000,3216,64320000,23480013,469600
24,22nd Aug. 2016,admin,8/22/2016 0:00,company_1,publish,20160822,20000,20000,20000,20000,1893,37860000,23480013,469600
25,19th Aug. 2016,admin,8/19/2016 0:00,company_1,publish,20160819,19500,20000,19500,20000,1919,37636000,23480013,469600
26,18th Aug. 2016,admin,8/18/2016 0:00,company_1,publish,20160818,20000,20000,20000,20000,921,18420000,23480013,469600
27,17th Aug. 2016,admin,8/17/2016 0:00,company_1,publish,20160817,19500,20000,19500,20000,2569,51095500,23480013,469600
28,16th Aug. 2016,admin,8/16/2016 0:00,company_1,publish,20160816,20000,20000,19500,19500,1462,28890500,23480013,457860
29,15th Aug. 2016,admin,8/15/2016 0:00,company_1,publish,20160815,19500,20000,19500,20000,2565,50615000,23480013,469600
30,12th Aug. 2016,admin,8/12/2016 0:00,company_1,publish,20160812,19500,20000,19500,20000,2135,41832500,23480013,469600
31,11th Aug. 2016,admin,8/11/2016 0:00,company_1,publish,20160811,19500,20000,19500,20000,839,16435500,23480013,469600
32,10th Aug. 2016,admin,8/10/2016 0:00,company_1,publish,20160810,20000,20000,20000,20000,1278,25560000,23480013,469600
33,9th Aug. 2016,admin,8/9/2016 0:00,company_1,publish,20160809,20000,20000,20000,20000,2533,50660000,23480013,469600
34,8th Aug. 2016,admin,8/8/2016 0:00,company_1,publish,20160808,20000,20000,20000,20000,1473,29460000,23480013,469600
35,5th Aug. 2016,admin,8/5/2016 0:00,company_1,publish,20160805,20000,20000,20000,20000,5946,118920000,23480013,469600
36,4th Aug. 2016,admin,8/4/2016 0:00,company_1,publish,20160804,20000,20000,19500,19500,1209,23719000,23480013,457860
37,3rd Aug. 2016,admin,8/3/2016 0:00,company_1,publish,20160803,20000,20000,20000,20000,846,16920000,23480013,469600
38,2nd Aug. 2016,admin,8/2/2016 0:00,company_1,publish,20160802,20000,20000,20000,20000,2508,50160000,23480013,469600
39,1st Aug. 2016,admin,8/1/2016 0:00,company_1,publish,20160801,19500,19500,19500,19500,2156,42042000,23480013,457860
40,29th Jul. 2016,admin,7/29/2016 0:00,company_1,publish,20160729,20000,20000,20000,20000,2290,45800000,23480013,469600
41,28th Jul. 2016,admin,7/28/2016 0:00,company_1,publish,20160728,19000,20000,19000,20000,2462,48263000,23480013,469600
