 ,post_title,post_author,post_date,post_type,post_status,date,open,high,low,close,volume_shares,value_mmk,companies,market_capitalization
1,18th Nov. 2016,admin,11/18/2016 0:00,company_3,publish,20161118,"9,600","9,600","9,500","9,500",427,"4,057,500","10,400,986","98,809"
2,17th Nov. 2016,admin,11/17/2016 0:00,company_3,publish,20161117,"9,200","9,500","9,200","9,500",255,"2,347,500","10,400,986","98,809"
3,16th Nov. 2016,admin,11/16/2016 0:00,company_3,publish,20161116,"9,000","9,000","9,000","9,000",22,"198,000","10,400,986","93,609"
4,15th Nov. 2016,admin,11/15/2016 0:00,company_3,publish,20161115,"9,300","9,400","9,300","9,400",108,"1,013,200","10,400,986","97,769"
5,11th Nov. 2016,admin,11/11/2016 0:00,company_3,publish,20161111,"9,400","9,400","8,900","8,900",261,"2,353,400","10,400,986","92,569"
6,10th Nov. 2016,admin,11/10/2016 0:00,company_3,publish,20161110,"9,400","9,400","9,400","9,400",369,"3,468,600","10,400,986","97,769"
7,9th Nov. 2016,admin,11/9/2016 0:00,company_3,publish,20161109,"9,400","9,400","9,400","9,400",98,"921,200","10,400,986","97,769"
8,8th Nov. 2016,admin,11/8/2016 0:00,company_3,publish,20161108,"9,600","9,600","9,600","9,600",530,"5,088,000","10,400,986","99,849"
9,7th Nov. 2016,admin,11/7/2016 0:00,company_3,publish,20161107,9600,9600,9600,9600,500,4800000,10400986,99849
10,4th Nov. 2016,admin,11/4/2016 0:00,company_3,publish,20161104,9600,9600,9600,9600,843,8092800,10400986,99849
11,3rd Nov. 2016,admin,11/3/2016 0:00,company_3,publish,20161103,9600,9600,9600,9600,56,537600,10400986,99849
12,2nd Nov. 2016,admin,11/2/2016 0:00,company_3,publish,20161102,9600,9600,9600,9600,383,3676800,10400986,99849
13,1st Nov. 2016,admin,11/1/2016 0:00,company_3,publish,20161101,9500,9500,9400,9400,210,1974000,10400986,97769
14,31st Oct. 2016,admin,10/31/2016 0:00,company_3,publish,20161031,9400,9500,9400,9500,715,6737900,10400986,98809
15,28th Oct. 2016,admin,10/28/2016 0:00,company_3,publish,20161028,9400,9400,9300,9300,159,1481100,10400986,96729
16,27th Oct. 2016,admin,10/27/2016 0:00,company_3,publish,20161027,9000,9000,9000,9000,655,5895000,10400986,93609
17,26th Oct. 2016,admin,10/26/2016 0:00,company_3,publish,20161026,9500,9500,9000,9000,280,2585000,10400986,93609
18,25th Oct. 2016,admin,10/25/2016 0:00,company_3,publish,20161025,9100,9100,9100,9100,550,5005000,10400986,94649
19,24th Oct. 2016,admin,10/24/2016 0:00,company_3,publish,20161024,9500,9500,9400,9400,50,470000,10400986,97769
20,21st Oct. 2016,admin,10/21/2016 0:00,company_3,publish,20161021,9500,9500,9500,9500,767,7286500,10400986,98809
21,20th Oct. 2016,admin,10/20/2016 0:00,company_3,publish,20161020,9800,9800,9800,9800,1409,13808200,10400986,101930
22,19th Oct. 2016,admin,10/19/2016 0:00,company_3,publish,20161019,8800,8800,8800,8800,433,3810400,10400986,91529
23,18th Oct. 2016,admin,10/18/2016 0:00,company_3,publish,20161018,8600,8700,8600,8700,290,2518000,10400986,90489
24,17th Oct. 2016,admin,10/17/2016 0:00,company_3,publish,20161017,8500,8500,8500,8500,100,850000,10400986,88408
25,14th Oct. 2016,admin,10/14/2016 0:00,company_3,publish,20161014,8800,8800,8800,8800,127,1117600,10400986,91529
26,13th Oct. 2016,admin,10/13/2016 0:00,company_3,publish,20161013,8500,8600,8500,8600,245,2088500,10400986,89448
27,12th Oct. 2016,admin,10/12/2016 0:00,company_3,publish,20161012,8400,8500,8400,8500,82,696800,10400986,88408
28,11th Oct. 2016,admin,10/11/2016 0:00,company_3,publish,20161011,8400,8400,8400,8400,232,1948800,10400986,87368
29,10th Oct. 2016,admin,10/10/2016 0:00,company_3,publish,20161010,8400,8400,8400,8400,321,2696400,10400986,87368
30,7th Oct. 2016,admin,10/7/2016 0:00,company_3,publish,20161007,8400,8400,8400,8400,800,6720000,10400986,87368
31,6th Oct. 2016,admin,10/6/2016 0:00,company_3,publish,20161006,8400,8400,8400,8400,180,1512000,10400986,87368
32,5th Oct. 2016,admin,10/5/2016 0:00,company_3,publish,20161005,8400,8400,8400,8400,588,4939200,10400986,87368
33,4th Oct. 2016,admin,10/4/2016 0:00,company_3,publish,20161004,8300,8300,8300,8300,595,4938500,10400986,86328
34,3rd Oct. 2016,admin,10/3/2016 0:00,company_3,publish,20161003,8300,8300,8300,8300,61,506300,10400986,86328
35,30th Sep. 2016,admin,9/30/2016 0:00,company_3,publish,20160930,8100,8300,8100,8300,650,5285000,10400986,86328
36,29th Sep. 2016,admin,9/29/2016 0:00,company_3,publish,20160929,8100,8400,8100,8400,1057,8736900,10400986,87368
37,28th Sep. 2016,admin,9/28/2016 0:00,company_3,publish,20160928,8100,8100,8100,8100,1000,8100000,10400986,84248
38,27th Sep. 2016,admin,9/27/2016 0:00,company_3,publish,20160927,8300,8300,8200,8200,1102,9069600,10400986,85288
39,26th Sep. 2016,admin,9/26/2016 0:00,company_3,publish,20160926,8000,8200,8000,8200,119,968600,10400986,85288
40,23rd Sep. 2016,admin,9/23/2016 0:00,company_3,publish,20160923,8000,8300,8000,8300,1356,10879800,10400986,86328
41,22nd Sep. 2016,admin,9/22/2016 0:00,company_3,publish,20160922,8200,8300,8200,8300,711,5850200,10400986,86320
42,21st Sep. 2016,admin,9/21/2016 0:00,company_3,publish,20160921,8300,8300,8100,8100,122,1000000,10400986,84248
43,20th Sep. 2016,admin,9/20/2016 0:00,company_3,publish,20160920,8300,8400,8300,8400,1091,9098600,10400986,87368
44,19th Sep. 2016,admin,9/19/2016 0:00,company_3,publish,20160919,7800,8000,7800,8000,895,7089600,10400986,83208
45,16th Sep. 2016,admin,9/16/2016 0:00,company_3,publish,20160916,8500,8500,8400,8400,1604,13603300,10400986,87368
46,15th Sep. 2016,admin,9/15/2016 0:00,company_3,publish,20160915,7600,7600,7600,7600,2349,17852400,10400986,79047
47,14th Sep. 2016,admin,9/14/2016 0:00,company_3,publish,20160914,9000,9000,8300,8300,2248,19182000,10400986,86328
48,12th Sep. 2016,admin,9/12/2016 0:00,company_3,publish,20160912,9500,9500,9300,9300,645,6050500,10400986,96729
49,9th Sep. 2016,admin,9/9/2016 0:00,company_3,publish,20160909,9800,9800,9800,9800,1492,14621600,10400986,101930
50,8th Sep. 2016,admin,9/8/2016 0:00,company_3,publish,20160908,9900,9900,9400,9400,849,8130100,10400986,97769
51,7th Sep. 2016,admin,9/7/2016 0:00,company_3,publish,20160907,10000,10000,10000,10000,582,5820000,10400986,104010
52,6th Sep. 2016,admin,9/6/2016 0:00,company_3,publish,20160906,10000,10000,10000,10000,1206,12060000,10400986,104010
53,5th Sep. 2016,admin,9/5/2016 0:00,company_3,publish,20160905,10000,10000,10000,10000,1820,18200000,10400986,104010
54,2nd Sep. 2016,admin,9/2/2016 0:00,company_3,publish,20160902,9600,9800,9600,9800,5709,55271000,10400986,101930
55,1st Sep. 2016,admin,9/1/2016 0:00,company_3,publish,20160901,13500,13500,12000,12000,9251,122620500,10400986,124812
56,31st Aug. 2016,admin,8/31/2016 0:00,company_3,publish,20160831,11000,11000,11000,11000,9934,109274000,10400986,114411
